TrialNumber,disparity_test,TestPos_LorR,ran,order,key
1,-0.15,left,1.0,0.0,left
2,0.05,left,1.0,1.0,right
3,0.03,left,1.0,2.0,right
4,0.05,right,1.0,3.0,left
5,0.03,right,1.0,4.0,right
6,-0.1,right,1.0,5.0,left
7,0.1,right,1.0,6.0,right
8,0,left,1.0,7.0,right
9,0,right,1.0,8.0,right
10,-0.05,left,1.0,9.0,left
11,0.3,right,1.0,10.0,left
12,-0.1,left,1.0,11.0,right
13,-0.03,left,1.0,12.0,right
14,-0.05,right,1.0,13.0,right
15,-0.3,left,1.0,14.0,left
16,0.15,right,1.0,15.0,right
17,-0.15,right,1.0,16.0,right
18,-0.3,right,1.0,17.0,left
19,0.3,left,1.0,18.0,right
20,0.15,left,1.0,19.0,right
21,0.1,left,1.0,20.0,right
22,-0.03,right,1.0,21.0,left
