TrialNumber,TestDisk_radius,disparity_test,TestPos_LorR,ran,order,key
1,3,0,right,1,0,left
2,5.4,0,right,1,1,right
3,0.9,0,right,1,2,left
4,5.4,0,left,1,3,right
5,3.9,0,right,1,4,right
6,3.9,0,left,1,5,right
7,2.1,0,right,1,6,left
8,2.1,0,left,1,7,left
9,0.9,0,left,1,8,left
10,3,0,left,1,9,left
11,3.9,0,left,1,10,right
12,5.4,0,right,1,11,right
13,3,0,left,1,12,right
14,3.9,0,right,1,13,left
15,0.9,0,left,1,14,left
16,2.1,0,left,1,15,left
17,3,0,right,1,16,right
18,2.1,0,right,1,17,left
19,5.4,0,left,1,18,right
20,0.9,0,right,1,19,right
21,2.1,0,right,1,20,left
22,0.9,0,right,1,21,right
23,3,0,left,1,22,right
24,5.4,0,left,1,23,left
25,5.4,0,right,1,24,right
26,3.9,0,right,1,25,left
27,3.9,0,left,1,26,right
28,0.9,0,left,1,27,right
29,2.1,0,left,1,28,right
30,3,0,right,1,29,right
31,2.1,0,right,1,30,right
32,3.9,0,right,1,31,left
33,0.9,0,left,1,32,right
34,5.4,0,left,1,33,left
35,3,0,left,1,34,right
36,3,0,right,1,35,right
37,0.9,0,right,1,36,left
38,5.4,0,right,1,37,right
39,2.1,0,left,1,38,left
40,3.9,0,left,1,39,right
41,0.9,0,left,1,40,right
42,5.4,0,right,1,41,left
43,2.1,0,left,1,42,left
44,5.4,0,left,1,43,left
45,2.1,0,right,1,44,right
46,0.9,0,right,1,45,left
47,3.9,0,left,1,46,right
48,3,0,right,1,47,right
49,3,0,left,1,48,left
50,3.9,0,right,1,49,left
