TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,0.3,0.9,left,1,0,right
2,0.3,5.4,left,1,1,left
3,0.3,2.1,right,1,2,left
4,0.3,3,left,1,3,left
5,0.3,5.4,right,1,4,right
6,0.3,3.9,left,1,5,left
7,0.3,3.9,right,1,6,right
8,0.3,0.9,right,1,7,left
9,0.3,3,right,1,8,left
10,0.3,2.1,left,1,9,right
11,0.3,2.1,right,1,10,left
12,0.3,5.4,right,1,11,right
13,0.3,5.4,left,1,12,left
14,0.3,2.1,left,1,13,right
15,0.3,3,right,1,14,right
16,0.3,3.9,right,1,15,right
17,0.3,3,left,1,16,left
18,0.3,3.9,left,1,17,left
19,0.3,0.9,right,1,18,left
20,0.3,0.9,left,1,19,right
21,0.3,2.1,right,1,20,left
22,0.3,0.9,left,1,21,right
23,0.3,3.9,left,1,22,left
24,0.3,3,right,1,23,left
25,0.3,3,left,1,24,right
26,0.3,5.4,right,1,25,right
27,0.3,0.9,right,1,26,left
28,0.3,5.4,left,1,27,left
29,0.3,3.9,right,1,28,right
30,0.3,2.1,left,1,29,right
31,0.3,2.1,left,1,30,right
32,0.3,2.1,right,1,31,left
33,0.3,0.9,left,1,32,right
34,0.3,3,right,1,33,left
35,0.3,0.9,right,1,34,left
36,0.3,3,left,1,35,right
37,0.3,5.4,right,1,36,right
38,0.3,3.9,left,1,37,left
39,0.3,5.4,left,1,38,left
40,0.3,3.9,right,1,39,right
41,0.3,3.9,right,1,40,right
42,0.3,3,right,1,41,left
43,0.3,0.9,right,1,42,left
44,0.3,2.1,right,1,43,left
45,0.3,2.1,left,1,44,right
46,0.3,0.9,left,1,45,right
47,0.3,5.4,left,1,46,left
48,0.3,3,left,1,47,left
49,0.3,3.9,left,1,48,left
50,0.3,5.4,right,1,49,right
