TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,0,5.4,right,1.0,0.0,right
2,0,0.8999999999999999,left,1.0,1.0,right
3,0,3.9000000000000004,right,1.0,2.0,right
4,0,3.0,left,1.0,3.0,left
5,0,0.8999999999999999,right,1.0,4.0,left
6,0,2.0999999999999996,right,1.0,5.0,left
7,0,2.0999999999999996,left,1.0,6.0,right
8,0,3.0,right,1.0,7.0,right
9,0,5.4,left,1.0,8.0,left
10,0,3.9000000000000004,left,1.0,9.0,left
11,0,0.8999999999999999,left,1.0,10.0,right
12,0,0.8999999999999999,right,1.0,11.0,left
13,0,5.4,right,1.0,12.0,right
14,0,3.9000000000000004,left,1.0,13.0,left
15,0,2.0999999999999996,right,1.0,14.0,left
16,0,2.0999999999999996,left,1.0,15.0,right
17,0,3.0,left,1.0,16.0,right
18,0,3.9000000000000004,right,1.0,17.0,right
19,0,3.0,right,1.0,18.0,left
20,0,5.4,left,1.0,19.0,left
21,0,2.0999999999999996,right,1.0,20.0,left
22,0,0.8999999999999999,right,1.0,21.0,left
23,0,3.9000000000000004,right,1.0,22.0,right
24,0,3.9000000000000004,left,1.0,23.0,left
25,0,5.4,right,1.0,24.0,right
26,0,5.4,left,1.0,25.0,left
27,0,2.0999999999999996,left,1.0,26.0,right
28,0,3.0,right,1.0,27.0,right
29,0,0.8999999999999999,left,1.0,28.0,right
30,0,3.0,left,1.0,29.0,left
31,0,2.0999999999999996,left,1.0,30.0,right
32,0,3.9000000000000004,left,1.0,31.0,left
33,0,0.8999999999999999,right,1.0,32.0,left
34,0,3.0,left,1.0,33.0,left
35,0,0.8999999999999999,left,1.0,34.0,right
36,0,5.4,left,1.0,35.0,left
37,0,2.0999999999999996,right,1.0,36.0,left
38,0,3.9000000000000004,right,1.0,37.0,right
39,0,5.4,right,1.0,38.0,right
40,0,3.0,right,1.0,39.0,right
41,0,5.4,right,1.0,40.0,right
42,0,3.9000000000000004,right,1.0,41.0,right
43,0,3.0,right,1.0,42.0,left
44,0,3.9000000000000004,left,1.0,43.0,left
45,0,0.8999999999999999,left,1.0,44.0,right
46,0,3.0,left,1.0,45.0,left
47,0,5.4,left,1.0,46.0,left
48,0,0.8999999999999999,right,1.0,47.0,left
49,0,2.0999999999999996,right,1.0,48.0,left
50,0,2.0999999999999996,left,1.0,49.0,right
