TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
10,-0.15,1.827,right,1,9,left
18,-0.15,1.827,left,1,17,right
43,0.15,1.827,left,1,42,right
50,0.3,1.827,left,1,49,right
51,-0.3,1.827,right,1,50,left
53,0.15,1.827,right,1,52,left
61,0.3,1.827,right,1,60,left
66,-0.3,1.827,left,1,65,right
72,0,1.827,right,1,71,left
78,0,1.827,left,1,77,right
96,-0.15,1.827,right,1,95,left
102,0,1.827,right,1,101,left
106,-0.15,1.827,left,1,105,right
131,-0.3,1.827,right,1,130,left
135,0.3,1.827,right,1,134,left
136,0.15,1.827,left,1,135,right
137,0.15,1.827,right,1,136,left
144,0.3,1.827,left,1,143,right
157,-0.3,1.827,left,1,156,right
172,0,1.827,left,1,171,right
186,0.3,1.827,left,1,185,right
196,0,1.827,right,1,195,left
197,-0.15,1.827,left,1,196,right
204,-0.3,1.827,right,1,203,left
207,0.3,1.827,right,1,206,left
210,0.15,1.827,left,1,209,right
214,-0.3,1.827,left,1,213,right
222,0.15,1.827,right,1,221,left
258,-0.15,1.827,right,1,257,left
270,0,1.827,left,1,269,right
271,0.15,1.827,left,1,270,right
287,-0.15,1.827,right,1,286,left
293,-0.3,1.827,right,1,292,left
299,-0.3,1.827,left,1,298,right
305,0.3,1.827,right,1,304,left
315,0.3,1.827,left,1,314,right
322,0,1.827,right,1,321,left
341,-0.15,1.827,left,1,340,right
352,0.15,1.827,right,1,351,left
360,0,1.827,left,1,359,right
374,0.15,1.827,left,1,373,right
375,-0.3,1.827,right,1,374,left
381,0.3,1.827,right,1,380,left
383,0.15,1.827,right,1,382,left
386,-0.15,1.827,right,1,385,left
408,-0.15,1.827,left,1,407,right
417,-0.3,1.827,left,1,416,right
429,0,1.827,left,1,428,right
436,0.3,1.827,left,1,435,right
438,0,1.827,right,1,437,left
4,0.3,2.13,left,1,3,right
21,-0.15,2.13,left,1,20,right
25,0.15,2.13,left,1,24,right
30,0.15,2.13,right,1,29,left
33,0,2.13,right,1,32,left
54,-0.3,2.13,left,1,53,right
67,0,2.13,left,1,66,right
75,-0.3,2.13,right,1,74,left
77,0.3,2.13,right,1,76,left
87,-0.15,2.13,right,1,86,left
95,-0.15,2.13,right,1,94,left
109,0.15,2.13,left,1,108,right
110,-0.3,2.13,left,1,109,right
111,-0.15,2.13,left,1,110,right
116,0.3,2.13,left,1,115,right
119,0,2.13,left,1,118,right
126,0.15,2.13,right,1,125,left
127,-0.3,2.13,right,1,126,left
142,0,2.13,right,1,141,left
146,0.3,2.13,right,1,145,left
201,0,2.13,left,1,200,right
203,0.15,2.13,left,1,202,right
216,-0.15,2.13,left,1,215,right
220,0,2.13,right,1,219,left
236,0.3,2.13,left,1,235,right
244,-0.3,2.13,right,1,243,left
245,0.3,2.13,right,1,244,left
249,-0.15,2.13,right,1,248,left
250,-0.3,2.13,left,1,249,right
256,0.15,2.13,right,1,255,left
279,0,2.13,left,1,278,right
298,-0.15,2.13,right,1,297,left
300,0.3,2.13,right,1,299,left
310,-0.3,2.13,left,1,309,right
312,-0.3,2.13,right,1,311,left
329,0.3,2.13,left,1,328,right
330,0,2.13,right,1,329,left
335,0.15,2.13,right,1,334,left
336,0.15,2.13,left,1,335,right
344,-0.15,2.13,left,1,343,right
369,0.15,2.13,left,1,368,right
387,0.3,2.13,right,1,386,left
391,0,2.13,left,1,390,right
397,-0.15,2.13,left,1,396,right
414,-0.3,2.13,left,1,413,right
431,0.3,2.13,left,1,430,right
437,-0.3,2.13,right,1,436,left
439,-0.15,2.13,right,1,438,left
441,0.15,2.13,right,1,440,left
448,0,2.13,right,1,447,left
2,0.3,2.487,left,1,1,right
5,-0.15,2.487,left,1,4,right
9,0.15,2.487,left,1,8,right
13,0,2.487,left,1,12,right
31,0.3,2.487,right,1,30,left
41,0.15,2.487,right,1,40,left
47,-0.3,2.487,left,1,46,right
57,-0.3,2.487,right,1,56,left
79,0,2.487,right,1,78,left
82,-0.15,2.487,right,1,81,left
113,-0.3,2.487,right,1,112,left
114,0,2.487,right,1,113,left
115,0.15,2.487,left,1,114,right
129,0.3,2.487,right,1,128,left
150,-0.15,2.487,right,1,149,left
162,-0.15,2.487,left,1,161,left
167,0.3,2.487,left,1,166,right
177,0,2.487,left,1,176,right
179,-0.3,2.487,left,1,178,right
