TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,0.15,1.827,right,1,0,left
2,-0.15,5.13,right,1,1,right
3,0.15,5.13,right,1,2,right
4,0.3,1.593,left,1,3,right
5,0,1.593,left,1,4,right
6,0.15,1.593,left,1,5,right
7,0,5.13,left,1,6,left
8,-0.15,4.623,left,1,7,left
9,0.3,5.13,left,1,8,left
10,0,1.827,left,1,9,right
11,-0.3,1.593,right,1,10,left
12,0,4.623,right,1,11,right
13,-0.3,2.139,right,1,12,left
14,0.15,1.827,left,1,13,right
15,-0.15,1.593,left,1,14,right
16,-0.15,3.993,right,1,15,right
17,0.15,3.507,right,1,16,right
18,-0.15,2.487,right,1,17,right
19,0.3,4.623,right,1,18,right
20,-0.3,2.139,left,1,19,left
21,0,5.13,right,1,20,right
22,-0.3,1.593,left,1,21,right
23,0.3,3,left,1,22,right
24,0.3,5.13,right,1,23,right
25,0.15,3.507,left,1,24,left
26,0,2.139,right,1,25,left
27,-0.15,1.827,left,1,26,right
28,-0.15,2.487,left,1,27,left
29,-0.15,2.139,left,1,28,right
30,-0.15,3,left,1,29,left
31,-0.3,5.13,left,1,30,left
32,-0.3,5.13,right,1,31,right
33,-0.3,3.507,left,1,32,left
34,-0.3,3,right,1,33,right
35,0.15,5.13,left,1,34,left
36,0.3,1.827,right,1,35,left
37,0.15,1.593,right,1,36,left
38,-0.3,3.993,left,1,37,left
39,0.15,4.623,right,1,38,right
40,-0.15,2.139,right,1,39,left
41,0,2.487,left,1,40,right
42,-0.15,3.507,right,1,41,left
43,0.3,3.507,left,1,42,left
44,0,3,right,1,43,right
45,0,3.507,left,1,44,left
46,0,3.993,left,1,45,left
47,0,1.827,right,1,46,left
48,-0.3,2.487,right,1,47,left
49,0.15,2.487,right,1,48,left
50,0.3,3,right,1,49,right
51,0,4.623,left,1,50,left
52,-0.3,3.993,right,1,51,right
53,0.3,3.993,left,1,52,left
54,0.3,4.623,left,1,53,left
55,0.3,3.507,right,1,54,right
56,0.15,2.139,right,1,55,left
57,-0.3,1.827,left,1,56,left
58,0.3,2.487,left,1,57,left
59,-0.3,3.507,right,1,58,right
60,0,3.507,right,1,59,right
61,-0.3,4.623,right,1,60,right
62,0,1.593,right,1,61,left
63,0.3,1.827,left,1,62,right
64,-0.15,3.993,left,1,63,right
65,0.3,2.487,right,1,64,left
66,0.15,3,left,1,65,right
67,0,2.139,left,1,66,right
68,0.15,2.487,left,1,67,left
69,-0.15,5.13,left,1,68,left
70,-0.3,4.623,left,1,69,left
71,-0.15,1.827,right,1,70,left
72,0,2.487,right,1,71,left
73,0,3,left,1,72,left
74,-0.3,3,left,1,73,right
75,0.15,2.139,left,1,74,left
76,-0.3,2.487,left,1,75,right
77,0.15,3.993,right,1,76,right
78,-0.15,4.623,right,1,77,right
79,0.15,4.623,left,1,78,left
80,0.3,3.993,right,1,79,right
81,-0.15,3.507,left,1,80,left
82,0.3,1.593,right,1,81,left
83,0.15,3.993,left,1,82,left
84,0.3,2.139,right,1,83,right
85,0.15,3,right,1,84,right
86,-0.15,1.593,right,1,85,left
87,-0.3,1.827,right,1,86,right
88,0,3.993,right,1,87,right
89,0.3,2.139,left,1,88,right
90,-0.15,3,right,1,89,right
91,-0.15,1.827,right,1,90,right
92,0.15,3,right,1,91,left
93,0.3,2.487,left,1,92,right
94,0,1.827,left,1,93,right
95,0,2.139,left,1,94,right
96,-0.3,4.623,right,1,95,right
97,0,4.623,right,1,96,right
98,-0.15,3,left,1,97,right
99,0.3,3,right,1,98,right
100,0.3,1.593,right,1,99,right
101,0.3,3.993,right,1,100,right
102,0,2.487,left,1,101,right
103,0,2.487,right,1,102,left
104,-0.15,1.827,left,1,103,right
105,0.15,3.993,left,1,104,left
106,0.15,5.13,left,1,105,left
107,0.15,3.507,left,1,106,left
108,0,3.507,right,1,107,right
109,0.15,5.13,right,1,108,right
110,0.15,4.623,right,1,109,right
111,-0.3,3.507,left,1,110,left
112,-0.15,2.487,left,1,111,right
113,0.15,1.827,left,1,112,left
114,-0.15,3.507,left,1,113,left
115,0,1.593,right,1,114,left
116,0.15,3,left,1,115,left
117,-0.3,5.13,right,1,116,right
118,0.15,2.487,right,1,117,right
119,-0.15,3.993,right,1,118,right
120,0.3,4.623,right,1,119,right
121,-0.3,2.487,right,1,120,left
122,-0.15,3,right,1,121,left
123,-0.3,3.507,right,1,122,right
124,0,3,left,1,123,right
125,0,3.993,left,1,124,left
126,0,1.827,right,1,125,left
127,0,3,right,1,126,left
128,0.15,1.593,right,1,127,left
129,0.3,5.13,left,1,128,left
130,-0.3,3.993,left,1,129,left
131,-0.3,2.139,left,1,130,left
132,0.15,4.623,left,1,131,left
133,-0.3,1.827,right,1,132,left
134,-0.15,5.13,left,1,133,left
135,0.15,2.139,right,1,134,left
136,0.3,2.487,right,1,135,left
137,0.15,1.827,right,1,136,left
138,-0.3,5.13,left,1,137,left
139,0.15,1.593,left,1,138,right
140,0.3,4.623,left,1,139,left
141,-0.3,4.623,left,1,140,left
142,-0.15,3.993,left,1,141,left
143,-0.15,1.593,left,1,142,left
144,0.15,3.507,right,1,143,left
145,0.15,3.993,right,1,144,right
146,-0.15,2.139,left,1,145,left
147,0,5.13,left,1,146,left
148,0,2.139,right,1,147,left
149,-0.15,5.13,right,1,148,right
150,-0.3,3.993,right,1,149,right
151,0.3,3.507,left,1,150,left
152,-0.15,1.593,right,1,151,left
153,0.3,3.993,left,1,152,left
154,0,3.993,right,1,153,right
155,0.3,1.827,left,1,154,right
156,-0.3,2.487,left,1,155,right
157,0.3,2.139,left,1,156,right
158,-0.15,4.623,right,1,157,right
159,-0.3,1.593,left,1,158,right
160,-0.3,1.827,left,1,159,right
161,-0.3,2.139,right,1,160,right
162,0.3,3,left,1,161,right
163,0,3.507,left,1,162,right
164,0.3,5.13,right,1,163,right
165,0.3,1.593,left,1,164,right
166,-0.15,3.507,right,1,165,right
167,0.3,2.139,right,1,166,left
168,-0.3,1.593,right,1,167,left
169,-0.3,3,right,1,168,left
170,0.3,1.827,right,1,169,left
171,0.3,3.507,right,1,170,left
172,0,1.593,left,1,171,right
173,-0.15,4.623,left,1,172,left
174,0,5.13,right,1,173,right
175,-0.15,2.139,right,1,174,left
176,0,4.623,left,1,175,left
177,0.15,2.139,left,1,176,right
178,-0.3,3,left,1,177,right
179,-0.15,2.487,right,1,178,left
180,0.15,2.487,left,1,179,right
181,0.3,1.593,right,1,180,left
182,-0.3,2.487,right,1,181,left
183,0.15,5.13,left,1,182,left
184,0,3.507,right,1,183,left
185,0.3,1.593,left,1,184,left
186,0.3,2.487,left,1,185,right
187,0.3,5.13,left,1,186,left
188,0.15,1.593,right,1,187,left
189,-0.3,3.507,left,1,188,left
190,0.3,2.139,left,1,189,right
191,-0.3,3,right,1,190,left
192,0.3,5.13,right,1,191,right
193,-0.15,2.139,left,1,192,left
194,0,2.487,right,1,193,left
195,0.3,3,right,1,194,left
196,-0.3,3.993,left,1,195,left
197,-0.15,2.487,left,1,196,right
198,0.15,2.487,left,1,197,right
199,-0.15,3.507,right,1,198,right
200,-0.15,1.827,left,1,199,right
201,0,4.623,right,1,200,right
202,-0.15,3,right,1,201,right
203,-0.15,1.593,left,1,202,right
204,-0.3,2.139,right,1,203,right
205,0.15,3.993,right,1,204,right
206,0,4.623,left,1,205,left
207,0,2.487,left,1,206,right
208,0,2.139,right,1,207,left
209,0,5.13,right,1,208,right
210,-0.3,4.623,left,1,209,left
211,0.15,3.507,right,1,210,left
212,-0.15,1.827,right,1,211,left
213,-0.3,5.13,left,1,212,left
214,-0.3,3.507,right,1,213,left
215,0.15,2.139,right,1,214,left
216,0.3,1.827,right,1,215,left
217,0.15,1.593,left,1,216,left
218,0,3,left,1,217,right
219,0,3.993,left,1,218,left
220,-0.15,4.623,right,1,219,right
221,0.15,3.507,left,1,220,left
222,-0.3,1.827,right,1,221,left
223,0.3,3.507,right,1,222,right
224,0.3,1.827,left,1,223,left
225,-0.15,3,left,1,224,right
226,0.15,4.623,left,1,225,left
227,0.3,4.623,left,1,226,left
228,0,1.827,right,1,227,left
229,-0.15,5.13,right,1,228,right
230,-0.15,2.487,right,1,229,left
231,0.15,2.487,right,1,230,right
232,0,5.13,left,1,231,left
233,-0.15,1.593,right,1,232,left
234,0,1.827,left,1,233,right
235,-0.15,3.993,right,1,234,right
236,0.15,2.139,left,1,235,right
237,-0.15,2.139,right,1,236,left
238,-0.3,1.827,left,1,237,right
239,-0.15,4.623,left,1,238,left
240,0.3,3.507,left,1,239,left
241,-0.3,1.593,left,1,240,right
242,-0.3,1.593,right,1,241,left
243,0.15,1.827,right,1,242,left
244,-0.15,3.993,left,1,243,left
245,0.3,3.993,right,1,244,right
246,0.3,2.487,right,1,245,left
247,0.15,3,right,1,246,right
248,0.3,3,left,1,247,right
249,0,1.593,left,1,248,right
250,-0.3,5.13,right,1,249,right
251,0.3,3.993,left,1,250,left
252,0,2.139,left,1,251,right
253,0.3,4.623,right,1,252,right
254,0.15,3.993,left,1,253,left
255,0,3,right,1,254,right
256,-0.3,3,left,1,255,right
257,0.15,4.623,right,1,256,right
258,0.15,5.13,right,1,257,right
259,0.15,3,left,1,258,right
260,-0.3,4.623,right,1,259,right
261,-0.15,3.507,left,1,260,right
262,0.15,1.827,left,1,261,left
263,0.3,2.139,right,1,262,right
264,-0.3,2.487,left,1,263,right
265,0,1.593,right,1,264,right
266,0,3.507,left,1,265,left
267,-0.3,3.993,right,1,266,right
268,0,3.993,right,1,267,right
269,-0.15,5.13,left,1,268,left
270,-0.3,2.139,left,1,269,right
271,-0.3,3.993,right,1,270,right
272,0.3,1.593,left,1,271,right
273,0,5.13,right,1,272,right
274,0,3.993,right,1,273,right
275,0.3,3.507,left,1,274,right
276,0.15,3.507,right,1,275,right
277,0.15,4.623,right,1,276,right
278,0.3,2.139,right,1,277,left
279,-0.15,4.623,left,1,278,left
280,0,2.139,right,1,279,left
281,0,2.139,left,1,280,right
282,-0.3,1.827,right,1,281,left
283,0,2.487,right,1,282,left
284,0.15,1.827,right,1,283,left
285,0.3,2.487,left,1,284,right
286,0,5.13,left,1,285,left
287,0.3,3,left,1,286,left
288,-0.15,3.507,left,1,287,left
289,0.15,4.623,left,1,288,left
290,0.15,3,right,1,289,left
291,-0.3,2.487,left,1,290,right
292,-0.15,2.487,left,1,291,right
293,0.15,2.487,left,1,292,right
294,0.3,4.623,left,1,293,left
295,-0.3,2.487,right,1,294,left
296,-0.3,4.623,right,1,295,right
297,-0.3,3.993,left,1,296,left
298,0.3,2.139,left,1,297,right
299,-0.15,3,right,1,298,right
300,-0.15,1.593,right,1,299,left
301,0.3,3.993,right,1,300,right
302,0,4.623,left,1,301,left
303,-0.3,2.139,left,1,302,right
304,0.3,5.13,right,1,303,right
305,-0.15,3.507,right,1,304,left
306,-0.15,1.827,left,1,305,right
307,-0.3,1.827,left,1,306,right
308,0.15,3,left,1,307,right
309,0.3,1.827,left,1,308,right
310,0.15,3.993,left,1,309,left
311,0.15,1.593,right,1,310,right
312,-0.15,1.593,left,1,311,right
313,0,3.507,right,1,312,right
314,0.15,2.487,right,1,313,left
315,0.15,3.993,right,1,314,right
316,0,3,left,1,315,right
317,-0.3,3,right,1,316,right
318,-0.15,5.13,right,1,317,right
319,-0.3,4.623,left,1,318,left
320,0.15,3.507,left,1,319,left
321,0,1.827,left,1,320,right
322,-0.15,5.13,left,1,321,left
323,-0.3,1.593,left,1,322,right
324,-0.3,1.593,right,1,323,left
325,0.15,2.139,right,1,324,left
326,0.3,5.13,left,1,325,left
327,0.3,2.487,right,1,326,left
328,-0.15,2.487,right,1,327,left
329,0.3,3,right,1,328,left
330,-0.15,3,left,1,329,left
331,0.15,2.139,left,1,330,right
332,0,1.827,right,1,331,left
333,-0.15,3.993,right,1,332,right
334,-0.15,1.827,right,1,333,left
335,0,4.623,right,1,334,right
336,0.15,5.13,right,1,335,right
337,0,1.593,left,1,336,right
338,0.3,3.993,left,1,337,left
339,-0.3,3.507,left,1,338,left
340,0.3,3.507,right,1,339,right
341,0,2.487,left,1,340,right
342,0.3,1.827,right,1,341,right
343,0.3,4.623,right,1,342,right
344,0,3.507,left,1,343,left
