TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,-0.15,2.181,left,1.0,0.0,left
2,0,2.181,right,1.0,1.0,left
3,0.3,2.181,left,1.0,2.0,left
4,0.3,2.181,right,1.0,3.0,left
5,-0.3,2.181,left,1.0,4.0,left
6,0.15,2.181,right,1.0,5.0,left
7,-0.15,2.181,right,1.0,6.0,left
8,0,2.181,left,1.0,7.0,left
9,-0.3,2.181,right,1.0,8.0,left
10,0.15,2.181,left,1.0,9.0,left
11,-0.15,2.181,right,1.0,10.0,left
12,-0.15,2.181,left,1.0,11.0,left
13,-0.3,2.181,left,1.0,12.0,left
14,-0.3,2.181,right,1.0,13.0,left
15,0,2.181,right,1.0,14.0,left
16,0.15,2.181,left,1.0,15.0,left
17,0.3,2.181,right,1.0,16.0,left
18,0.15,2.181,right,1.0,17.0,left
19,0,2.181,left,1.0,18.0,left
20,0.3,2.181,left,1.0,19.0,left
21,-0.3,2.181,left,1.0,20.0,left
22,0,2.181,right,1.0,21.0,left
23,0.15,2.181,left,1.0,22.0,left
24,-0.15,2.181,right,1.0,23.0,left
25,0.3,2.181,right,1.0,24.0,left
26,-0.15,2.181,left,1.0,25.0,left
27,0.15,2.181,right,1.0,26.0,left
28,0,2.181,left,1.0,27.0,left
29,0.3,2.181,left,1.0,28.0,left
30,-0.3,2.181,right,1.0,29.0,left
31,-0.3,2.181,left,1.0,30.0,left
32,-0.15,2.181,right,1.0,31.0,left
33,0.15,2.181,right,1.0,32.0,left
34,0.3,2.181,right,1.0,33.0,left
35,0.15,2.181,left,1.0,34.0,left
36,-0.3,2.181,right,1.0,35.0,left
37,0,2.181,left,1.0,36.0,left
38,0.3,2.181,left,1.0,37.0,left
39,-0.15,2.181,left,1.0,38.0,left
40,0,2.181,right,1.0,39.0,left
41,-0.15,2.181,left,1.0,40.0,left
42,-0.3,2.181,right,1.0,41.0,left
43,0.3,2.181,left,1.0,42.0,left
44,-0.15,2.181,right,1.0,43.0,left
45,0.15,2.181,right,1.0,44.0,left
46,0.15,2.181,left,1.0,45.0,left
47,0.3,2.181,right,1.0,46.0,left
48,0,2.181,right,1.0,47.0,left
49,-0.3,2.181,left,1.0,48.0,left
50,0,2.181,left,1.0,49.0,left
