TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,0.15,4.0200000000000005,left,1.0,0.0,left
2,-0.15,2.181,right,1.0,1.0,left
3,0.3,4.59,left,1.0,2.0,left
4,-0.15,2.4749999999999996,left,1.0,3.0,left
5,-0.3,3.0,right,1.0,4.0,left
6,-0.15,4.59,right,1.0,5.0,right
7,0.15,1.383,right,1.0,6.0,left
8,0,5.223000000000001,left,1.0,7.0,left
9,-0.15,3.507,left,1.0,8.0,left
10,-0.15,2.181,left,1.0,9.0,right
11,0.15,3.507,left,1.0,10.0,right
12,-0.3,2.4749999999999996,left,1.0,11.0,right
13,-0.15,1.7069999999999999,left,1.0,12.0,right
14,-0.15,5.223000000000001,right,1.0,13.0,right
15,-0.3,4.59,left,1.0,14.0,right
16,0.3,3.0,left,1.0,15.0,left
17,0.3,1.7069999999999999,right,1.0,16.0,right
18,0.15,5.223000000000001,right,1.0,17.0,right
19,0.15,1.7069999999999999,left,1.0,18.0,right
20,0,2.181,left,1.0,19.0,left
21,-0.3,1.7069999999999999,right,1.0,20.0,left
22,-0.3,1.383,right,1.0,21.0,right
23,-0.15,4.0200000000000005,right,1.0,22.0,right
24,0.15,2.181,left,1.0,23.0,right
25,0.15,2.181,right,1.0,24.0,right
26,0.15,3.0,right,1.0,25.0,right
27,-0.3,3.507,right,1.0,26.0,right
28,-0.15,1.383,right,1.0,27.0,right
29,0.15,4.59,left,1.0,28.0,left
30,0.15,4.0200000000000005,right,1.0,29.0,right
31,-0.15,4.0200000000000005,left,1.0,30.0,left
32,-0.3,2.4749999999999996,right,1.0,31.0,left
33,-0.15,2.4749999999999996,right,1.0,32.0,left
34,0.15,3.507,right,1.0,33.0,right
35,0.3,3.507,left,1.0,34.0,left
36,0,1.383,right,1.0,35.0,right
37,0,3.0,right,1.0,36.0,right
38,0.15,4.59,right,1.0,37.0,right
39,0,4.59,left,1.0,38.0,left
40,-0.15,1.7069999999999999,right,1.0,39.0,left
41,0,1.383,left,1.0,40.0,right
42,0.3,4.0200000000000005,right,1.0,41.0,left
43,-0.3,1.7069999999999999,left,1.0,42.0,right
44,0.3,2.181,right,1.0,43.0,left
45,0.15,5.223000000000001,left,1.0,44.0,left
