TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,-0.3,1.47,left,1,0,right
2,-0.15,4.59,left,1,1,left
3,0.15,5.1,left,1,2,left
4,0,4.0200000000000005,right,1,3,right
5,-0.3,3,left,1,4,left
6,0.3,2.181,right,1,5,left
7,-0.15,3,left,1,6,left
8,0.15,2.181,right,1,7,left
9,0.3,3.507,right,1,8,left
10,0,2.4749999999999996,left,1,9,left
11,0,1.7069999999999999,left,1,10,left
12,-0.15,2.181,right,1,11,left
13,0.3,5.1,right,1,12,right
14,0.3,3,right,1,13,left
15,0.3,4.0200000000000005,left,1,14,left
16,-0.3,4.59,right,1,15,left
17,-0.15,2.4749999999999996,left,1,16,right
18,0.3,4.59,right,1,17,left
19,0,2.181,right,1,18,right
20,0,3.507,right,1,19,left
21,0,4.59,right,1,20,right
22,-0.15,5.1,left,1,21,left
23,-0.15,4.59,right,1,22,right
24,0,2.4749999999999996,right,1,23,left
25,-0.3,4.59,left,1,24,left
26,-0.3,1.7069999999999999,right,1,25,left
27,0.15,2.181,left,1,26,right
28,-0.3,2.4749999999999996,left,1,27,right
29,0.15,4.0200000000000005,left,1,28,left
30,0.15,3.507,right,1,29,right
31,-0.3,5.1,right,1,30,right
32,0.3,1.47,left,1,31,left
33,0,5.1,right,1,32,right
34,0.15,1.47,left,1,33,right
35,0,3.507,left,1,34,left
36,0.15,3,left,1,35,left
37,-0.15,3.507,left,1,36,left
38,-0.15,2.181,left,1,37,right
39,0.15,4.59,right,1,38,right
40,-0.3,1.7069999999999999,left,1,39,right
41,-0.3,2.181,left,1,40,right
42,-0.15,1.47,left,1,41,left
43,-0.3,4.0200000000000005,right,1,42,left
44,0,4.59,left,1,43,left
45,-0.3,2.181,right,1,44,left
46,0,2.181,left,1,45,right
47,0.3,1.47,right,1,46,left
48,-0.15,4.0200000000000005,left,1,47,left
49,0.15,2.4749999999999996,left,1,48,right
50,0.3,1.7069999999999999,left,1,49,right
51,0.3,1.7069999999999999,right,1,50,left
52,0.15,3.507,left,1,51,right
53,0.3,3.507,left,1,52,left
54,-0.15,5.1,right,1,53,right
55,0.3,2.181,left,1,54,right
56,0.15,4.0200000000000005,right,1,55,right
57,-0.15,1.7069999999999999,right,1,56,left
58,-0.15,3,right,1,57,right
59,0,3,left,1,58,left
60,0.3,4.59,left,1,59,left
61,0,3,right,1,60,left
62,0,5.1,left,1,61,left
63,-0.15,4.0200000000000005,right,1,62,right
64,-0.3,3.507,right,1,63,left
65,-0.3,5.1,left,1,64,left
66,0.3,2.4749999999999996,left,1,65,left
67,0.3,5.1,left,1,66,left
68,-0.3,1.47,right,1,67,right
69,-0.3,3,right,1,68,left
70,0,1.7069999999999999,right,1,69,left
71,-0.15,1.7069999999999999,left,1,70,right
72,0.15,2.4749999999999996,right,1,71,left
73,0.3,3,left,1,72,right
74,0.15,1.7069999999999999,right,1,73,left
75,-0.15,2.4749999999999996,right,1,74,right
76,0,4.0200000000000005,left,1,75,left
77,-0.3,2.4749999999999996,right,1,76,left
78,0,1.47,left,1,77,right
79,0.15,5.1,right,1,78,right
80,-0.15,3.507,right,1,79,right
81,0.3,4.0200000000000005,right,1,80,right
82,0.15,1.7069999999999999,left,1,81,right
83,-0.3,4.0200000000000005,left,1,82,left
84,0.15,1.47,right,1,83,left
85,0.3,2.4749999999999996,right,1,84,left
86,0.15,4.59,left,1,85,left
87,-0.3,3.507,left,1,86,left
88,-0.15,1.47,right,1,87,left
89,0.15,3,right,1,88,left
90,0,1.47,right,1,89,left
91,0,4.59,right,1,90,right
92,0.15,1.47,left,1,91,right
93,0.3,3.507,left,1,92,left
94,0.3,2.4749999999999996,left,1,93,left
95,0.15,4.59,right,1,94,right
96,0.15,1.7069999999999999,right,1,95,left
97,0,1.7069999999999999,left,1,96,right
98,0.15,4.0200000000000005,left,1,97,left
99,0.15,3,right,1,98,left
100,-0.15,1.47,right,1,99,left
101,0,4.59,left,1,100,left
