TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,-0.3,2.181,left,1.0,0.0,left
2,0.3,1.7069999999999999,left,1.0,1.0,left
3,0.3,2.4749999999999996,right,1.0,2.0,left
4,-0.3,4.0200000000000005,right,1.0,3.0,left
5,0.3,3.507,right,1.0,4.0,left
6,0.3,4.59,right,1.0,5.0,right
7,0.3,1.47,left,1.0,6.0,right
8,-0.3,3.507,left,1.0,7.0,right
9,-0.3,1.7069999999999999,right,1.0,8.0,left
10,0,1.7069999999999999,right,1.0,9.0,right
11,0.3,4.59,left,1.0,10.0,left
12,-0.3,2.4749999999999996,left,1.0,11.0,left
13,-0.3,5.1,left,1.0,12.0,left
14,0,4.59,left,1.0,13.0,right
15,0,2.4749999999999996,left,1.0,14.0,left
16,-0.3,3.0,right,1.0,15.0,right
17,-0.3,1.7069999999999999,left,1.0,16.0,right
18,0.3,4.0200000000000005,left,1.0,17.0,right
19,0.3,3.507,left,1.0,18.0,right
20,0.3,4.0200000000000005,right,1.0,19.0,right
21,0,3.0,left,1.0,20.0,right
22,0.3,3.0,right,1.0,21.0,left
23,-0.3,1.47,right,1.0,22.0,left
24,0,2.4749999999999996,right,1.0,23.0,left
25,0,3.507,right,1.0,24.0,left
26,0,4.59,right,1.0,25.0,left
27,-0.3,1.47,left,1.0,26.0,right
28,0.3,5.1,left,1.0,27.0,left
29,0,3.507,left,1.0,28.0,left
30,0,1.47,left,1.0,29.0,left
31,0,4.0200000000000005,left,1.0,30.0,left
32,-0.3,3.0,left,1.0,31.0,left
33,-0.3,2.181,right,1.0,32.0,left
34,0,5.1,left,1.0,33.0,left
35,0,1.7069999999999999,left,1.0,34.0,left
36,0,5.1,right,1.0,35.0,right
37,0.3,3.0,left,1.0,36.0,left
38,0,2.181,left,1.0,37.0,right
39,0,2.181,right,1.0,38.0,left
40,-0.3,3.507,right,1.0,39.0,left
41,-0.3,4.0200000000000005,left,1.0,40.0,right
42,0.3,2.181,left,1.0,41.0,left
43,0,4.0200000000000005,right,1.0,42.0,right
44,-0.3,5.1,right,1.0,43.0,left
45,0.3,1.7069999999999999,right,1.0,44.0,left
46,0,3.0,right,1.0,45.0,left
47,0,1.47,right,1.0,46.0,right
48,0.3,5.1,right,1.0,47.0,right
49,-0.3,2.4749999999999996,right,1.0,48.0,left
50,-0.3,4.59,left,1.0,49.0,left
51,-0.3,4.59,right,1.0,50.0,left
52,0.3,2.181,right,1.0,51.0,left
53,0.3,2.4749999999999996,left,1.0,52.0,left
54,0.3,1.47,right,1.0,53.0,right
55,-0.3,1.47,left,1.0,54.0,right
56,0.3,5.1,right,1.0,55.0,left
57,0,5.1,right,1.0,56.0,right
58,0.3,4.59,right,1.0,57.0,right
59,0.3,2.4749999999999996,right,1.0,58.0,right
60,0,1.7069999999999999,left,1.0,59.0,right
61,0.3,5.1,left,1.0,60.0,left
62,-0.3,2.181,left,1.0,61.0,right
63,0.3,1.7069999999999999,right,1.0,62.0,left
64,-0.3,4.59,left,1.0,63.0,left
65,-0.3,3.0,right,1.0,64.0,left
66,0.3,3.0,right,1.0,65.0,left
67,-0.3,4.0200000000000005,left,1.0,66.0,right
68,-0.3,1.47,right,1.0,67.0,left
69,-0.3,5.1,left,1.0,68.0,left
70,0,1.47,right,1.0,69.0,right
71,0,2.181,left,1.0,70.0,right
72,-0.3,4.59,right,1.0,71.0,left
73,0,3.507,right,1.0,72.0,left
74,0.3,2.181,left,1.0,73.0,right
75,0,4.59,left,1.0,74.0,left
76,0.3,4.0200000000000005,left,1.0,75.0,left
77,-0.3,3.507,left,1.0,76.0,left
78,0,3.507,left,1.0,77.0,left
79,0,5.1,left,1.0,78.0,left
80,0.3,1.7069999999999999,left,1.0,79.0,right
81,0,2.181,right,1.0,80.0,right
82,0.3,3.0,left,1.0,81.0,left
83,-0.3,1.7069999999999999,left,1.0,82.0,left
84,0.3,4.59,left,1.0,83.0,left
85,0.3,3.507,left,1.0,84.0,left
86,-0.3,3.507,right,1.0,85.0,left
