TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,0.3,2.181,left,1,0,right
2,0,4.59,right,1,1,right
3,0,2.181,right,1,2,left
4,-0.3,4.0200000000000005,right,1,3,left
5,0.3,4.0200000000000005,right,1,4,right
6,0.3,4.0200000000000005,left,1,5,left
7,0.3,2.4749999999999996,right,1,6,left
8,0,2.4749999999999996,left,1,7,left
9,-0.3,1.7069999999999999,right,1,8,left
10,0.3,1.7069999999999999,right,1,9,left
11,-0.3,3.507,right,1,10,left
12,-0.3,2.181,left,1,11,right
13,0,1.7069999999999999,right,1,12,left
14,-0.3,1.7069999999999999,left,1,13,right
15,-0.3,4.59,left,1,14,left
16,0.3,3,right,1,15,right
17,-0.3,2.4749999999999996,left,1,16,right
18,-0.3,4.0200000000000005,left,1,17,left
19,0,3,left,1,18,right
20,0.3,1.7069999999999999,left,1,19,left
21,0,3.507,left,1,20,left
22,0.3,2.4749999999999996,left,1,21,right
23,0.3,3.507,left,1,22,left
24,0,2.4749999999999996,right,1,23,right
25,0,4.0200000000000005,right,1,24,right
26,0.3,4.59,left,1,25,left
27,0.3,3.507,right,1,26,left
28,-0.3,4.59,right,1,27,right
29,0,1.7069999999999999,left,1,28,left
30,0.3,4.59,right,1,29,right
31,-0.3,2.181,right,1,30,left
32,-0.3,3,left,1,31,right
33,0.3,2.181,right,1,32,left
34,0,3,right,1,33,left
35,-0.3,2.4749999999999996,right,1,34,left
36,0,4.0200000000000005,left,1,35,left
37,0,3.507,right,1,36,left
38,0,2.181,left,1,37,left
39,0,4.59,left,1,38,left
40,0.3,3,left,1,39,right
41,-0.3,3.507,left,1,40,left
42,-0.3,3,right,1,41,left
43,0,1.7069999999999999,right,1,42,right
44,-0.3,2.4749999999999996,right,1,43,right
45,0,1.7069999999999999,left,1,44,right
46,0.3,3,left,1,45,left
47,0.3,3,right,1,46,right
48,0,4.0200000000000005,left,1,47,left
49,-0.3,2.181,right,1,48,left
50,0.3,2.4749999999999996,right,1,49,left
51,-0.3,3.507,right,1,50,right
52,0.3,2.181,right,1,51,right
53,-0.3,4.59,right,1,52,right
54,-0.3,2.181,left,1,53,right
55,0.3,4.0200000000000005,right,1,54,right
56,-0.3,4.0200000000000005,right,1,55,right
57,0,4.0200000000000005,right,1,56,right
58,-0.3,3,right,1,57,right
59,0.3,3.507,right,1,58,right
60,0,2.4749999999999996,right,1,59,right
61,0,4.59,right,1,60,right
62,-0.3,4.59,left,1,61,left
63,0.3,3.507,left,1,62,left
64,0,2.181,left,1,63,right
65,0,3,left,1,64,right
66,0.3,2.4749999999999996,left,1,65,right
67,-0.3,1.7069999999999999,left,1,66,right
68,-0.3,3.507,left,1,67,left
69,0,3,right,1,68,right
70,0,3.507,left,1,69,left
71,0.3,4.59,left,1,70,left
72,0,2.4749999999999996,left,1,71,right
73,0.3,1.7069999999999999,left,1,72,right
74,0.3,4.59,right,1,73,right
75,0,2.181,right,1,74,right
76,-0.3,1.7069999999999999,right,1,75,right
77,0,3.507,right,1,76,right
78,0.3,4.0200000000000005,left,1,77,left
79,0,4.59,left,1,78,left
80,-0.3,3,left,1,79,left
81,-0.3,4.0200000000000005,left,1,80,left
82,0.3,2.181,left,1,81,right
83,0.3,1.7069999999999999,right,1,82,left
84,-0.3,2.4749999999999996,left,1,83,right
85,0.3,3.507,left,1,84,left
86,-0.3,4.0200000000000005,right,1,85,right
87,0,2.181,left,1,86,right
88,0,1.7069999999999999,right,1,87,left
89,0,3,right,1,88,left
90,0,4.0200000000000005,right,1,89,right
91,0.3,1.7069999999999999,left,1,90,right
92,0.3,4.59,left,1,91,left
93,0.3,2.4749999999999996,right,1,92,left
94,0.3,3,left,1,93,right
95,-0.3,1.7069999999999999,right,1,94,left
96,0,4.59,right,1,95,right
97,-0.3,3,right,1,96,left
98,0.3,4.59,right,1,97,right
99,0.3,4.0200000000000005,left,1,98,left
100,0.3,2.4749999999999996,left,1,99,right
101,0,4.59,left,1,100,left
102,0,2.4749999999999996,left,1,101,right
103,0,1.7069999999999999,left,1,102,right
104,-0.3,2.181,left,1,103,left
105,0.3,4.0200000000000005,right,1,104,right
106,-0.3,2.4749999999999996,left,1,105,right
107,0,3.507,right,1,106,right
108,0,2.181,right,1,107,left
109,0.3,1.7069999999999999,right,1,108,left
110,-0.3,2.181,right,1,109,left
111,0,4.0200000000000005,left,1,110,left
112,-0.3,4.0200000000000005,left,1,111,left
113,-0.3,3,left,1,112,left
114,0.3,2.181,left,1,113,right
115,0,3,left,1,114,right
116,0.3,3,right,1,115,left
117,-0.3,3.507,left,1,116,left
118,-0.3,2.4749999999999996,right,1,117,left
119,-0.3,4.59,right,1,118,left
120,-0.3,3.507,right,1,119,left
121,0,3.507,left,1,120,left
122,-0.3,4.59,left,1,121,left
123,0.3,3.507,right,1,122,left
124,0,2.4749999999999996,right,1,123,left
125,-0.3,1.7069999999999999,left,1,124,right
126,0.3,2.181,right,1,125,left
127,0,4.59,right,1,126,right
128,0,2.181,right,1,127,left
129,-0.3,2.181,right,1,128,left
130,-0.3,4.59,right,1,129,right
131,0.3,4.59,right,1,130,right
132,0.3,4.0200000000000005,right,1,131,right
133,0.3,3.507,right,1,132,right
134,0,3,right,1,133,right
135,-0.3,2.4749999999999996,left,1,134,right
136,0,1.7069999999999999,left,1,135,right
137,0.3,2.181,left,1,136,right
138,0,4.0200000000000005,right,1,137,right
139,-0.3,1.7069999999999999,right,1,138,left
140,-0.3,3.507,right,1,139,right
141,-0.3,3.507,left,1,140,right
142,-0.3,2.4749999999999996,right,1,141,right
143,0.3,2.4749999999999996,right,1,142,left
144,0.3,1.7069999999999999,right,1,143,left
145,0,2.4749999999999996,right,1,144,right
146,0,2.4749999999999996,left,1,145,right
147,0.3,2.181,right,1,146,left
148,0.3,2.4749999999999996,left,1,147,left
149,0,4.59,left,1,148,left
150,-0.3,4.0200000000000005,left,1,149,left
151,0.3,3,left,1,150,right
152,0,3,left,1,151,left
153,0.3,3,right,1,152,left
154,0,1.7069999999999999,right,1,153,left
155,0,4.0200000000000005,left,1,154,left
156,0,2.181,left,1,155,right
157,-0.3,2.181,left,1,156,right
158,-0.3,1.7069999999999999,left,1,157,right
159,0,3.507,right,1,158,right
160,0.3,4.59,left,1,159,left
161,0,3.507,left,1,160,left
162,0.3,4.0200000000000005,left,1,161,left
163,-0.3,4.59,left,1,162,left
164,-0.3,4.0200000000000005,right,1,163,right
165,-0.3,3,left,1,164,right
166,0.3,3.507,left,1,165,left
167,-0.3,3,right,1,166,left
168,0.3,1.7069999999999999,left,1,167,right
169,0,2.4749999999999996,right,1,168,left
170,0,4.0200000000000005,right,1,169,right
171,0.3,1.7069999999999999,right,1,170,left
172,0.3,3,right,1,171,right
173,0,2.181,right,1,172,left
174,0,4.59,left,1,173,left
175,0,1.7069999999999999,left,1,174,right
176,0.3,3,left,1,175,right
177,0,2.181,left,1,176,right
178,-0.3,3.507,right,1,177,left
179,-0.3,2.181,right,1,178,left
180,-0.3,4.0200000000000005,left,1,179,left
181,0,3,left,1,180,right
182,0.3,4.59,right,1,181,right
183,-0.3,3,left,1,182,left
184,0,4.0200000000000005,left,1,183,left
185,0.3,3.507,right,1,184,right
186,0,2.4749999999999996,left,1,185,right
187,-0.3,1.7069999999999999,right,1,186,right
188,0.3,2.181,right,1,187,left
189,0.3,4.59,left,1,188,left
190,0.3,1.7069999999999999,left,1,189,right
191,-0.3,4.59,right,1,190,right
192,0,3.507,left,1,191,left
193,0,4.59,right,1,192,right
194,0,3.507,right,1,193,right
195,0,3,right,1,194,right
196,-0.3,2.181,left,1,195,right
197,-0.3,4.59,left,1,196,left
198,0.3,4.0200000000000005,right,1,197,right
199,-0.3,2.4749999999999996,left,1,198,right
200,-0.3,3,right,1,199,right
201,0.3,2.4749999999999996,right,1,200,left
202,0.3,3.507,left,1,201,left
203,-0.3,3.507,left,1,202,right
204,0.3,2.4749999999999996,left,1,203,left
205,-0.3,2.4749999999999996,right,1,204,left
206,0.3,2.181,left,1,205,left
207,-0.3,4.0200000000000005,right,1,206,right
208,-0.3,1.7069999999999999,left,1,207,right
209,0.3,4.0200000000000005,left,1,208,left
210,0,1.7069999999999999,right,1,209,left
211,-0.3,1.47,left,1,0,right
212,-0.15,4.59,left,1,1,left
213,0.15,5.1,left,1,2,left
214,0,4.0200000000000005,right,1,3,right
215,-0.3,3,left,1,4,left
216,0.3,2.181,right,1,5,left
217,-0.15,3,left,1,6,left
218,0.15,2.181,right,1,7,left
219,0.3,3.507,right,1,8,left
220,0,2.4749999999999996,left,1,9,left
221,0,1.7069999999999999,left,1,10,left
222,-0.15,2.181,right,1,11,left
223,0.3,5.1,right,1,12,right
224,0.3,3,right,1,13,left
225,0.3,4.0200000000000005,left,1,14,left
226,-0.3,4.59,right,1,15,left
227,-0.15,2.4749999999999996,left,1,16,right
228,0.3,4.59,right,1,17,left
229,0,2.181,right,1,18,right
230,0,3.507,right,1,19,left
231,0,4.59,right,1,20,right
232,-0.15,5.1,left,1,21,left
233,-0.15,4.59,right,1,22,right
234,0,2.4749999999999996,right,1,23,left
235,-0.3,4.59,left,1,24,left
236,-0.3,1.7069999999999999,right,1,25,left
237,0.15,2.181,left,1,26,right
238,-0.3,2.4749999999999996,left,1,27,right
239,0.15,4.0200000000000005,left,1,28,left
240,0.15,3.507,right,1,29,right
241,-0.3,5.1,right,1,30,right
242,0.3,1.47,left,1,31,left
243,0,5.1,right,1,32,right
244,0.15,1.47,left,1,33,right
245,0,3.507,left,1,34,left
246,0.15,3,left,1,35,left
247,-0.15,3.507,left,1,36,left
248,-0.15,2.181,left,1,37,right
249,0.15,4.59,right,1,38,right
250,-0.3,1.7069999999999999,left,1,39,right
251,-0.3,2.181,left,1,40,right
252,-0.15,1.47,left,1,41,left
253,-0.3,4.0200000000000005,right,1,42,left
254,0,4.59,left,1,43,left
255,-0.3,2.181,right,1,44,left
256,0,2.181,left,1,45,right
257,0.3,1.47,right,1,46,left
258,-0.15,4.0200000000000005,left,1,47,left
259,0.15,2.4749999999999996,left,1,48,right
260,0.3,1.7069999999999999,left,1,49,right
261,0.3,1.7069999999999999,right,1,50,left
262,0.15,3.507,left,1,51,right
263,0.3,3.507,left,1,52,left
264,-0.15,5.1,right,1,53,right
265,0.3,2.181,left,1,54,right
266,0.15,4.0200000000000005,right,1,55,right
267,-0.15,1.7069999999999999,right,1,56,left
268,-0.15,3,right,1,57,right
269,0,3,left,1,58,left
270,0.3,4.59,left,1,59,left
271,0,3,right,1,60,left
272,0,5.1,left,1,61,left
273,-0.15,4.0200000000000005,right,1,62,right
274,-0.3,3.507,right,1,63,left
275,-0.3,5.1,left,1,64,left
276,0.3,2.4749999999999996,left,1,65,left
277,0.3,5.1,left,1,66,left
278,-0.3,1.47,right,1,67,right
279,-0.3,3,right,1,68,left
280,0,1.7069999999999999,right,1,69,left
281,-0.15,1.7069999999999999,left,1,70,right
282,0.15,2.4749999999999996,right,1,71,left
283,0.3,3,left,1,72,right
284,0.15,1.7069999999999999,right,1,73,left
285,-0.15,2.4749999999999996,right,1,74,right
286,0,4.0200000000000005,left,1,75,left
287,-0.3,2.4749999999999996,right,1,76,left
288,0,1.47,left,1,77,right
289,0.15,5.1,right,1,78,right
290,-0.15,3.507,right,1,79,right
291,0.3,4.0200000000000005,right,1,80,right
292,0.15,1.7069999999999999,left,1,81,right
293,-0.3,4.0200000000000005,left,1,82,left
294,0.15,1.47,right,1,83,left
295,0.3,2.4749999999999996,right,1,84,left
296,0.15,4.59,left,1,85,left
297,-0.3,3.507,left,1,86,left
298,-0.15,1.47,right,1,87,left
299,0.15,3,right,1,88,left
300,0,1.47,right,1,89,left
301,0,4.59,right,1,90,right
302,0.15,1.47,left,1,91,right
303,0.3,3.507,left,1,92,left
304,0.3,2.4749999999999996,left,1,93,left
305,0.15,4.59,right,1,94,right
306,0.15,1.7069999999999999,right,1,95,left
307,0,1.7069999999999999,left,1,96,right
308,0.15,4.0200000000000005,left,1,97,left
309,0.15,3,right,1,98,left
310,-0.15,1.47,right,1,99,left
311,0,4.59,left,1,100,left
312,0.3,2.181,left,1,101,right
313,-0.3,1.47,left,1,102,right
314,-0.3,3.507,left,1,103,left
315,0,3.507,right,1,104,right
316,-0.15,4.59,right,1,105,right
317,-0.15,2.181,left,1,106,right
318,0.3,1.47,right,1,107,left
319,-0.3,2.181,right,1,108,left
320,0,4.0200000000000005,right,1,109,right
321,-0.3,3,left,1,110,right
322,-0.15,2.181,right,1,111,right
323,-0.15,5.1,right,1,112,right
324,-0.3,5.1,left,1,113,left
325,0.15,3,left,1,114,left
326,-0.15,2.4749999999999996,left,1,115,left
327,-0.15,3,right,1,116,left
328,0.15,1.7069999999999999,left,1,117,right
329,-0.3,2.4749999999999996,left,1,118,right
330,-0.3,2.4749999999999996,right,1,119,left
331,-0.15,2.4749999999999996,right,1,120,right
332,0.3,1.47,left,1,121,right
333,0,1.7069999999999999,right,1,122,left
334,-0.3,1.7069999999999999,right,1,123,left
335,-0.3,4.59,left,1,124,left
336,-0.3,2.181,left,1,125,right
337,0.15,2.181,right,1,126,left
338,-0.15,1.47,left,1,127,right
339,-0.3,4.0200000000000005,left,1,128,left
340,0,1.47,right,1,129,left
341,0,2.4749999999999996,right,1,130,left
342,0.3,3,right,1,131,left
343,0.15,3.507,right,1,132,right
344,0,5.1,right,1,133,right
345,-0.3,4.0200000000000005,right,1,134,right
346,-0.15,1.7069999999999999,right,1,135,right
347,0,2.4749999999999996,left,1,136,right
348,0,3,left,1,137,right
349,0,3.507,left,1,138,right
350,0.15,4.59,left,1,139,left
351,0.15,3.507,left,1,140,left
352,0.3,4.59,left,1,141,left
353,0.15,2.4749999999999996,left,1,142,left
354,-0.15,1.7069999999999999,left,1,143,right
355,0.15,2.4749999999999996,right,1,144,right
356,-0.15,4.0200000000000005,right,1,145,right
357,0.3,4.0200000000000005,right,1,146,right
358,0.15,5.1,left,1,147,left
359,0,2.181,left,1,148,left
360,0,5.1,left,1,149,left
361,-0.15,3,left,1,150,left
362,0.15,5.1,right,1,151,right
363,0.15,4.0200000000000005,right,1,152,right
364,0.3,5.1,left,1,153,left
365,-0.3,1.47,right,1,154,left
366,0.15,1.47,right,1,155,left
367,0,2.181,right,1,156,left
368,0,3,right,1,157,left
369,-0.3,3.507,right,1,158,right
370,-0.15,3.507,left,1,159,left
371,0,1.47,left,1,160,right
372,-0.15,4.59,left,1,161,left
373,0.3,1.7069999999999999,right,1,162,left
374,0.3,1.7069999999999999,left,1,163,right
375,0.3,2.4749999999999996,right,1,164,left
376,-0.15,4.0200000000000005,left,1,165,left
377,0.3,3,left,1,166,left
378,0.3,4.59,right,1,167,right
379,0.3,3.507,right,1,168,right
380,-0.3,1.7069999999999999,left,1,169,right
381,0.3,5.1,right,1,170,right
382,-0.3,4.59,right,1,171,right
383,0,4.0200000000000005,left,1,172,left
384,0.15,2.181,left,1,173,right
385,-0.3,5.1,right,1,174,right
386,-0.15,5.1,left,1,175,left
387,0.3,2.181,right,1,176,left
388,-0.3,3,right,1,177,left
389,0.3,4.0200000000000005,left,1,178,left
390,-0.15,3.507,right,1,179,left
