TrialNumber,disparity_test,TestDisk_radius,TestPos_LorR,ran,order,key
1,0,3,right,1,0,right
2,-0.3,3.507,left,1,1,left
3,0.3,3.507,left,1,2,left
4,-0.3,3,right,1,3,right
5,0.3,4.59,right,1,4,right
6,-0.3,1.7069999999999999,left,1,5,right
7,0.3,4.59,left,1,6,left
8,0.3,2.4749999999999996,right,1,7,left
9,0.3,1.7069999999999999,right,1,8,left
10,-0.3,2.181,right,1,9,left
11,0,3,left,1,10,right
12,0,2.181,right,1,11,left
13,-0.3,2.181,left,1,12,right
14,-0.3,4.0200000000000005,right,1,13,right
15,0.3,3.507,right,1,14,right
16,0.3,4.0200000000000005,left,1,15,left
17,0.3,4.0200000000000005,right,1,16,right
18,0,2.181,left,1,17,right
19,0,1.7069999999999999,right,1,18,left
20,0,4.0200000000000005,right,1,19,right
21,-0.3,4.0200000000000005,left,1,20,left
22,0.3,3,right,1,21,right
23,0,1.7069999999999999,left,1,22,right
24,0,4.59,right,1,23,right
25,0,3.507,left,1,24,left
26,0,2.4749999999999996,right,1,25,left
27,0.3,1.7069999999999999,left,1,26,right
28,0,4.59,left,1,27,left
29,0.3,2.4749999999999996,left,1,28,right
30,-0.3,3.507,right,1,29,right
31,0,2.4749999999999996,left,1,30,right
32,0.3,2.181,left,1,31,right
33,-0.3,2.4749999999999996,right,1,32,left
34,-0.3,4.59,right,1,33,right
35,-0.3,2.4749999999999996,left,1,34,right
36,-0.3,4.59,left,1,35,left
37,0,3.507,right,1,36,right
38,0.3,2.181,right,1,37,left
39,-0.3,3,left,1,38,left
40,-0.3,1.7069999999999999,right,1,39,left
41,0,4.0200000000000005,left,1,40,left
42,0.3,3,left,1,41,right
43,0,3.507,right,1,42,right
44,0.3,1.7069999999999999,right,1,43,left
45,0.3,1.7069999999999999,left,1,44,right
46,0,2.4749999999999996,left,1,45,right
47,0,2.4749999999999996,right,1,46,left
48,0,4.0200000000000005,left,1,47,left
49,0,2.181,left,1,48,right
50,0.3,2.4749999999999996,left,1,49,right
51,-0.3,3,right,1,50,right
52,0,1.7069999999999999,left,1,51,right
53,0,4.59,left,1,52,left
54,0,1.7069999999999999,right,1,53,left
55,0.3,3.507,left,1,54,left
56,0,3,left,1,55,right
57,-0.3,2.181,left,1,56,right
58,-0.3,4.0200000000000005,right,1,57,right
59,0.3,4.0200000000000005,left,1,58,left
60,-0.3,1.7069999999999999,right,1,59,left
61,0,4.59,right,1,60,right
62,0,4.0200000000000005,right,1,61,right
63,-0.3,3,left,1,62,left
64,0.3,4.59,left,1,63,left
65,-0.3,3.507,left,1,64,left
66,0,3,right,1,65,right
67,0.3,3,left,1,66,left
68,0,3.507,left,1,67,left
69,-0.3,4.59,right,1,68,right
70,0.3,2.181,left,1,69,right
71,0.3,2.4749999999999996,right,1,70,left
72,0,2.181,right,1,71,left
73,0.3,2.181,right,1,72,left
74,0.3,4.0200000000000005,right,1,73,right
75,-0.3,2.181,right,1,74,left
76,0.3,4.59,right,1,75,right
77,0.3,3.507,right,1,76,right
78,-0.3,4.0200000000000005,left,1,77,left
79,0.3,3,right,1,78,right
80,-0.3,2.4749999999999996,left,1,79,right
81,-0.3,2.4749999999999996,right,1,80,left
82,-0.3,1.7069999999999999,left,1,81,right
83,-0.3,4.59,left,1,82,left
84,-0.3,3.507,right,1,83,right
85,0.3,4.59,left,1,84,left
86,0,3,right,1,85,right
87,-0.3,3.507,right,1,86,right
88,-0.3,3,left,1,87,right
89,-0.3,4.0200000000000005,right,1,88,right
90,0.3,3.507,left,1,89,left
91,0,1.7069999999999999,left,1,90,right
92,0,4.0200000000000005,left,1,91,left
93,0.3,2.4749999999999996,left,1,92,right
94,-0.3,1.7069999999999999,right,1,93,left
95,0.3,3,left,1,94,right
96,0,2.4749999999999996,right,1,95,left
97,0,4.59,right,1,96,right
98,-0.3,3,right,1,97,left
99,0,3,left,1,98,left
100,-0.3,3.507,left,1,99,left
101,0.3,2.181,right,1,100,left
102,0,1.7069999999999999,right,1,101,left
103,0.3,4.59,right,1,102,left
104,0.3,1.7069999999999999,right,1,103,left
105,-0.3,2.181,right,1,104,left
106,0.3,3,right,1,105,right
107,-0.3,4.0200000000000005,left,1,106,left
108,0,3.507,left,1,107,left
109,-0.3,2.4749999999999996,left,1,108,right
110,-0.3,4.59,right,1,109,right
